State,Congressional District,Under 65,65 and Over,Grand Total
Alabama,Congressional District 1 ,"37,786","24,949","62,735"
Alabama,Congressional District 2 ,"44,665","24,184","68,849"
Alabama,Congressional District 3 ,"38,584","21,681","60,265"
Alabama,Congressional District 4 ,"32,592","22,961","55,552"
Alabama,Congressional District 5 ,"44,876","25,796","70,672"
Alabama,Congressional District 6 ,"35,021","25,679","60,700"
Alabama,Congressional District 7 ,"30,592","14,648","45,240"
Alaska,Congressional District (at Large) ,"58,620","15,389","74,010"
Arizona,Congressional District 1 ,"41,953","30,054","72,007"
Arizona,Congressional District 2 ,"56,795","48,742","105,537"
Arizona,Congressional District 3 ,"33,384","20,465","53,849"
Arizona,Congressional District 4 ,"20,365","8,678","29,043"
Arizona,Congressional District 5 ,"28,657","20,152","48,809"
Arizona,Congressional District 6 ,"47,760","32,629","80,389"
Arizona,Congressional District 7 ,"37,321","22,206","59,527"
Arizona,Congressional District 8 ,"54,062","37,897","91,959"
Arkansas,Congressional District 1 ,"36,465","24,929","61,394"
Arkansas,Congressional District 2 ,"42,865","23,985","66,850"
Arkansas,Congressional District 3 ,"41,547","27,421","68,968"
Arkansas,Congressional District 4 ,"34,929","24,524","59,453"
California,Congressional District 1 ,"29,365","22,521","51,886"
California,Congressional District 2 ,"35,438","25,829","61,268"
California,Congressional District 3 ,"38,127","26,173","64,299"
California,Congressional District 4 ,"40,529","29,880","70,409"
California,Congressional District 5 ,"26,021","16,799","42,821"
California,Congressional District 6 ,"21,619","19,330","40,950"
California,Congressional District 7 ,"26,938","15,729","42,667"
California,Congressional District 8 ,"13,319","9,473","22,792"
California,Congressional District 9 ,"14,070","12,712","26,782"
California,Congressional District 10 ,"27,061","19,171","46,232"
California,Congressional District 11 ,"27,513","17,897","45,410"
California,Congressional District 12 ,"15,131","13,073","28,204"
California,Congressional District 13 ,"16,849","11,691","28,540"
California,Congressional District 14 ,"14,872","14,536","29,409"
California,Congressional District 15 ,"14,993","11,472","26,465"
California,Congressional District 16 ,"14,552","8,814","23,366"
California,Congressional District 17 ,"18,347","14,078","32,425"
California,Congressional District 18 ,"20,870","12,610","33,480"
California,Congressional District 19 ,"28,360","19,343","47,704"
California,Congressional District 20 ,"18,102","8,149","26,251"
California,Congressional District 21 ,"25,573","14,920","40,493"
California,Congressional District 22 ,"40,177","20,643","60,820"
California,Congressional District 23 ,"20,711","17,122","37,833"
California,Congressional District 24 ,"24,762","19,000","43,762"
California,Congressional District 25 ,"35,134","13,909","49,043"
California,Congressional District 26 ,"20,519","14,593","35,112"
California,Congressional District 27 ,"13,461","10,675","24,136"
California,Congressional District 28 ,"8,583","7,872","16,455"
California,Congressional District 29 ,"10,673","9,909","20,582"
California,Congressional District 30 ,"12,788","17,013","29,801"
California,Congressional District 31 ,"7,445","3,762","11,207"
California,Congressional District 32 ,"11,627","6,825","18,453"
California,Congressional District 33 ,"11,239","8,713","19,952"
California,Congressional District 34 ,"9,419","4,477","13,896"
California,Congressional District 35 ,"12,691","8,335","21,026"
California,Congressional District 36 ,"17,518","14,047","31,565"
California,Congressional District 37 ,"16,136","8,441","24,577"
California,Congressional District 38 ,"11,537","8,235","19,772"
California,Congressional District 39 ,"13,763","7,659","21,423"
California,Congressional District 40 ,"18,121","14,449","32,570"
California,Congressional District 41 ,"38,613","24,233","62,845"
