Date,"White alone,
Hispanic or Latino","Black or African American alone,
Hispanic or Latino","American Indian and Alaska Native alone,
Hispanic or Latino","Asian alone,
Hispanic or Latino","Native Hawaiian and Other Pacific Islander alone,
Hispanic or Latino","Some Other Race alone,
Hispanic or Latino","Two or More Races,
Hispanic or Latino","White alone,
not Hispanic or Latino","Black or African American alone,
not Hispanic or Latino","American Indian and Alaska Native alone,
not Hispanic or Latino","Asian alone,
not Hispanic or Latino","Native Hawaiian and Other Pacific Islander alone,
not Hispanic or Latino","Some other race alone,
not Hispanic or Latino","Two or more races,
not Hispanic or Latino",Grand Total
09/30/2010,"959,799","44,668","16,591","5,965","1,739","247,550","66,793","18,305,837","2,603,956","151,088","275,211","33,043","20,890","298,761","23,031,892"
09/30/2011,"964,625","45,219","16,646","6,106","1,774","252,818","67,772","17,928,172","2,610,402","151,596","274,533","33,367","21,005","302,113","22,676,149"
09/30/2012,"969,321","46,031","16,710","6,194","1,827","257,388","68,553","17,563,110","2,613,980","151,616","273,684","33,700","21,133","305,033","22,328,279"
09/30/2013,"973,861","46,907","16,807","6,254","1,896","261,848","69,210","17,190,937","2,618,046","151,474","272,623","34,038","21,294","307,770","21,972,964"
09/30/2014,"977,877","47,713","16,908","6,301","1,968","265,861","69,730","16,824,288","2,620,479","151,275","271,312","34,307","21,480","310,232","21,619,731"
09/30/2015,"983,593","48,532","17,086","6,360","2,032","270,268","70,361","16,474,317","2,627,963","151,318","270,473","34,605","21,754","313,300","21,291,961"
09/30/2016,"990,065","49,163","17,132","6,477","2,063","275,267","71,350","16,126,918","2,632,059","151,699","270,194","34,995","21,911","316,956","20,966,249"
09/30/2017,"993,879","49,805","17,134","6,560","2,112","279,164","71,946","15,770,249","2,627,210","151,351","269,215","35,283","22,002","319,359","20,615,270"
09/30/2018,"998,212","50,523","17,184","6,634","2,179","283,215","72,494","15,417,520","2,624,228","150,898","268,316","35,587","22,127","321,733","20,270,850"
09/30/2019,"1,002,132","51,179","17,264","6,689","2,245","286,875","72,935","15,073,148","2,620,374","150,401","267,282","35,807","22,270","323,871","19,932,474"
09/30/2020,"1,006,398","51,764","17,410","6,739","2,301","290,493","73,389","14,736,198","2,618,613","150,016","266,365","35,978","22,455","326,158","19,604,276"
09/30/2021,"1,012,280","52,188","17,427","6,822","2,328","294,891","74,241","14,415,614","2,614,372","150,092","266,115","36,276","22,580","329,229","19,294,455"
09/30/2022,"1,018,112","52,782","17,450","6,894","2,378","299,107","74,923","14,107,200","2,607,896","149,756","265,967","36,600","22,708","331,982","18,993,756"
09/30/2023,"1,024,020","53,435","17,505","6,961","2,445","303,347","75,519","13,800,546","2,602,341","149,252","265,835","36,933","22,861","334,556","18,695,556"
09/30/2024,"1,029,665","54,035","17,593","7,015","2,512","307,250","76,028","13,503,381","2,596,764","148,739","265,691","37,195","23,044","337,018","18,405,928"
09/30/2025,"1,035,354","54,578","17,734","7,066","2,567","310,999","76,526","13,210,341","2,592,580","148,354","265,613","37,388","23,265","339,594","18,121,959"
09/30/2026,"1,041,273","54,882","17,717","7,131","2,593","314,966","77,294","12,926,380","2,582,810","148,360","265,712","37,635","23,395","342,690","17,842,838"
09/30/2027,"1,047,350","55,354","17,719","7,192","2,640","318,839","77,944","12,655,000","2,573,614","148,020","266,100","37,914","23,541","345,631","17,576,857"
09/30/2028,"1,053,329","55,907","17,751","7,244","2,700","322,718","78,513","12,380,761","2,565,008","147,472","266,508","38,211","23,697","348,379","17,308,199"
09/30/2029,"1,058,820","56,423","17,811","7,289","2,757","326,192","78,998","12,112,709","2,556,656","146,898","266,904","38,423","23,876","351,018","17,044,776"
09/30/2030,"1,063,870","56,871","17,911","7,336","2,801","329,390","79,427","11,841,647","2,547,840","146,345","267,206","38,559","24,076","353,617","16,776,896"
09/30/2031,"1,068,691","57,058","17,829","7,386","2,820","332,533","80,070","11,583,631","2,532,888","146,244","267,497","38,737","24,187","356,644","16,516,215"
09/30/2032,"1,072,823","57,373","17,762","7,435","2,855","335,477","80,513","11,323,743","2,514,964","145,698","267,774","38,943","24,278","359,201","16,248,838"
09/30/2033,"1,077,367","57,799","17,746","7,492","2,901","338,624","80,924","11,065,370","2,499,162","145,050","268,244","39,192","24,394","361,742","15,986,005"
09/30/2034,"1,082,031","58,241","17,778","7,552","2,946","341,648","81,302","10,815,007","2,484,396","144,463","268,824","39,399","24,544","364,361","15,732,492"
09/30/2035,"1,086,915","58,646","17,866","7,611","2,985","344,629","81,683","10,568,214","2,470,965","143,995","269,464","39,560","24,739","367,135","15,484,406"
09/30/2036,"1,092,110","58,842","17,740","7,662","3,014","347,581","82,228","10,340,564","2,448,859","144,097","269,804","39,749","24,873","370,408","15,247,531"
09/30/2037,"1,097,844","59,191","17,676","7,727","3,054","350,785","82,712","10,124,383","2,428,888","143,914","270,610","40,023","25,008","373,690","15,025,505"
09/30/2038,"1,104,406","59,624","17,685","7,801","3,098","354,346","83,207","9,917,201","2,412,382","143,616","271,825","40,362","25,166","377,053","14,817,771"
09/30/2039,"1,111,748","60,052","17,768","7,879","3,141","357,976","83,738","9,727,225","2,399,492","143,474","273,435","40,681","25,375","380,724","14,632,708"
09/30/2040,"1,119,689","60,465","17,906","7,957","3,176","361,604","84,300","9,549,132","2,388,461","143,555","275,263","40,950","25,635","384,712","14,462,805"
