State,20 <,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Grand Total
Alabama,95,"3,966","12,491","17,402","22,356","31,154","35,942","39,909","40,948","59,853","42,691","34,677","34,139","26,796","21,594","424,013"
Alaska,28,"1,720","4,835","4,648","5,163","7,287","8,479","8,461","8,255","9,745","6,114","3,507","2,555","1,742","1,471","74,010"
Arizona,115,"5,590","18,166","25,441","28,044","36,914","41,768","45,786","45,825","72,649","57,353","46,788","46,194","37,235","33,250","541,120"
Arkansas,63,"2,993","8,166","10,478","13,139","17,587","19,511","21,902","24,043","37,923","27,539","21,921","21,090","16,008","14,301","256,665"
California,535,"25,148","82,097","95,653","93,648","119,649","142,542","163,995","168,527","270,445","200,461","153,322","151,438","132,768","142,545","1,942,775"
Colorado,86,"3,550","11,196","16,820","23,360","33,302","36,829","39,037","39,043","60,027","41,257","28,728","27,685","22,992","21,331","405,244"
Connecticut,36,"1,810","5,621","7,255","8,026","11,263","14,807","17,120","17,130","32,713","28,067","23,507","23,507","20,059","19,621","230,542"
D.C.,13,347,"1,077","1,612","1,933","2,293","2,540","2,861","2,658","3,912","3,084","2,608","3,030","2,638","2,462","33,070"
Delaware,13,774,"1,965","3,006","3,551","5,514","6,542","7,124","6,972","11,659","9,433","7,093","7,034","5,219","4,067","79,967"
Florida,250,"10,702","37,612","63,234","76,505","104,621","130,080","145,260","133,513","207,939","167,871","134,731","138,584","120,443","116,685","1,588,029"
Georgia,242,"7,912","27,763","37,122","48,289","68,487","76,948","79,144","72,473","107,890","77,418","55,384","51,146","38,346","29,718","778,282"
Hawaii,31,"2,595","7,381","6,154","6,134","8,121","9,900","10,496","10,141","15,706","11,318","8,420","7,779","6,552","5,810","116,539"
Idaho,32,"1,808","5,973","8,532","8,222","10,449","11,117","11,700","11,906","18,538","13,977","11,046","9,798","7,662","7,786","138,546"
Illinois,213,"10,543","29,205","33,223","36,716","47,831","53,453","56,805","61,655","120,629","92,166","73,155","75,328","60,450","52,591","803,964"
Indiana,113,"7,494","20,350","19,782","23,904","34,043","40,612","43,284","45,447","78,237","56,696","42,911","43,033","33,731","27,035","516,673"
Iowa,45,"2,732","7,834","8,779","10,572","15,359","16,691","17,706","21,446","40,478","27,952","21,443","23,189","17,738","15,623","247,587"
Kansas,52,"3,465","8,880","9,354","10,988","16,291","17,564","18,224","20,898","34,819","24,380","17,819","19,164","16,429","15,017","233,342"
Kentucky,104,"4,212","11,761","13,296","16,812","25,048","28,128","29,524","32,206","54,098","38,144","27,978","28,235","21,295","17,247","348,089"
Louisiana,123,"3,882","11,262","16,069","17,909","24,083","23,327","26,153","30,304","48,522","34,590","26,008","25,210","21,027","17,983","326,454"
Maine,23,"1,337","3,643","4,383","5,401","7,980","10,690","12,091","12,027","20,857","15,180","11,779","12,039","9,194","8,496","135,118"
Maryland,147,"4,319","14,962","22,736","26,795","36,640","45,320","45,893","41,204","61,829","44,069","33,598","32,913","28,178","25,604","464,207"
Massachusetts,110,"3,932","12,697","13,958","14,949","19,501","26,246","30,352","30,621","58,783","48,082","41,253","43,062","36,057","36,839","416,443"
Michigan,156,"4,781","12,937","18,847","28,693","43,628","52,693","56,200","62,627","120,994","90,741","69,927","67,984","49,159","40,026","719,393"
Minnesota,81,"3,857","15,262","14,177","15,174","22,627","26,521","30,053","34,632","62,640","44,417","33,157","32,540","26,399","25,062","386,598"
Mississippi,95,"3,201","8,858","9,966","12,987","16,836","18,738","21,219","21,718","31,909","22,428","18,916","18,108","14,108","11,708","230,794"
Missouri,129,"5,373","14,376","18,296","23,842","33,809","39,985","44,516","48,209","80,144","58,631","43,440","44,088","34,836","31,853","521,526"
Montana,29,"1,459","4,521","4,692","4,792","6,620","7,696","8,349","9,359","15,836","11,834","9,202","7,485","6,172","5,541","103,590"
Nebraska,31,"1,556","4,310","5,900","7,086","10,258","10,945","11,302","12,968","22,605","15,115","11,665","12,212","10,032","9,413","145,399"
Nevada,41,"2,435","8,254","10,287","12,013","16,454","19,497","21,316","22,409","33,964","25,799","20,207","17,289","13,299","10,038","233,302"
New Hampshire,25,788,"2,732","3,636","5,111","7,249","9,837","11,329","10,812","18,020","13,910","10,039","9,649","7,570","6,846","117,554"
New Jersey,91,"3,528","10,408","15,459","16,440","22,223","29,922","33,790","33,702","69,746","58,842","48,904","51,981","42,063","38,771","475,870"
New Mexico,36,"1,808","6,188","7,545","8,430","11,876","14,678","17,101","17,212","25,800","18,117","13,386","12,795","10,088","9,410","174,470"
New York,265,"9,831","30,939","35,216","36,434","52,516","67,025","74,512","75,147","142,215","110,664","92,539","95,638","81,260","79,643","983,844"
North Carolina,328,"9,264","25,248","31,061","42,461","59,621","68,457","72,801","70,360","112,907","79,733","60,526","59,650","46,021","38,246","776,683"
North Dakota,20,"1,142","3,650","3,099","2,969","3,765","4,100","4,041","5,127","8,365","5,599","4,304","4,085","3,440","2,990","56,696"
Ohio,214,"8,951","25,264","30,884","41,656","60,587","69,740","75,107","82,462","150,837","110,650","84,232","84,258","65,273","52,930","943,046"
Oklahoma,128,"4,984","12,998","16,380","18,598","23,113","24,853","29,205","31,773","52,723","38,473","27,572","26,956","20,999","18,617","347,374"
Oregon,72,"2,347","7,789","12,405","15,289","20,685","23,384","27,202","32,818","55,075","41,601","30,455","26,088","21,510","23,170","339,891"
Pennsylvania,203,"9,776","27,640","33,707","38,045","57,992","67,350","73,834","81,280","155,933","123,253","100,551","102,053","85,234","78,714","1,035,566"
Rhode Island,10,568,"1,565","2,482","2,634","3,973","5,592","6,163","5,915","11,801","8,735","6,984","7,078","6,172","6,295","75,968"
South Carolina,170,"5,527","15,024","18,813","22,370","30,789","37,450","38,631","38,903","61,911","44,087","33,523","31,595","23,934","19,572","422,297"
South Dakota,15,"1,056","4,055","3,810","3,643","5,452","5,418","5,875","6,933","11,338","7,783","6,103","6,004","4,598","4,238","76,320"
Tennessee,106,"4,325","14,483","19,301","26,862","37,410","44,630","47,777","50,631","82,392","58,995","46,088","42,324","32,327","26,155","533,803"
Texas,532,"20,940","65,034","90,112","107,794","135,131","136,393","149,116","157,205","236,884","170,536","120,989","117,982","95,285","85,826","1,689,759"
Utah,41,"2,203","6,817","9,242","8,691","10,363","11,556","11,437","13,217","20,811","15,221","11,177","12,376","10,920","9,829","153,901"
Vermont,6,309,"1,000","1,361","1,861","3,237","4,354","4,782","4,663","8,011","6,189","4,847","4,484","3,525","3,460","52,090"
Virginia,289,"13,726","45,782","53,300","54,196","71,063","85,241","88,255","74,551","102,711","68,320","49,520","48,792","39,549","32,516","827,810"
Washington,149,"7,781","25,673","29,710","33,148","46,210","52,357","56,761","59,677","88,325","65,515","45,661","39,815","32,749","33,694","617,225"
West Virginia,42,"1,968","6,174","7,513","8,788","11,364","12,267","13,149","15,604","28,853","20,658","15,921","15,064","12,251","10,008","179,623"
Wisconsin,97,"3,751","11,985","14,873","18,037","27,059","30,987","34,059","37,675","69,026","50,740","41,556","39,784","30,230","26,771","436,630"
Wyoming,15,954,"2,796","3,518","3,443","4,181","4,230","4,659","5,388","8,306","5,698","4,155","3,451","2,678","2,441","55,912"
Puerto Rico,34,"1,104","3,243","3,229","3,416","4,610","6,464","8,634","10,416","15,286","12,653","11,673","11,934","9,134","7,954","109,785"
Is. Areas & Foreign,90,"1,028","2,735","3,676","5,119","8,274","10,161","10,699","10,009","12,189","11,250","8,615","6,576","6,335","11,736","108,493"
Grand Total,"6,010","251,153","772,677","971,432","1,132,438","1,552,392","1,801,557","1,964,706","2,020,644","3,344,809","2,484,033","1,913,506","1,886,271","1,529,711","1,400,551","23,031,892"
