Date,all veterans,wartime veterans,peacetime veterans,wwii,vietnam era,gulf war era,pre-wwii,wwii only,wwi and kore,wwii korean vietnam,between wwi korean,koren era only,korean conflict,korean and vietnam era,between korean and vietnam era,vietnam era only,vietnam era and gulf war era,vietnam era gulf war era and post 911,between vietnam era and gulf war era,gulf war era and post 911 era,post 911 era,gulf war era and post 911,post gulf war era
Alabama,"424,013","318,594","105,419","34,023","47,160","142,667","116,716",256,"28,893","3,974","1,156","2,504","36,248","5,782","37,710","125,825","8,689","1,215","64,950","53,846","22,810","30,156",0
Alaska,"74,010","58,505","15,505","2,285","3,439","23,322","31,551",0,"2,101",66,118,236,"2,695",559,"3,794","21,414","1,132",99,"11,475","10,730","10,780","8,811",0
Arizona,"541,120","401,840","139,280","51,590","64,962","175,427","134,086",201,"44,859","4,409","2,322","3,241","51,644","6,587","55,991","157,934","7,539","1,046","79,846","65,036","24,644","35,821",0
Arkansas,"256,665","189,440","67,225","20,293","30,239","90,180","61,028",434,"17,526","1,987",779,"2,290","22,843","4,629","25,234","80,648","3,045","1,079","39,268","29,966","9,019","17,919",0
California,"1,942,775","1,457,875","484,900","200,899","215,117","642,450","469,943","4,061","178,305","16,453","6,140","11,011","173,673","18,851","177,357","594,511","19,874","3,074","292,471","216,931","76,789","153,275",0
Colorado,"405,244","311,129","94,115","31,753","39,418","144,230","116,639",192,"27,326","2,454","1,974","1,959","30,829","4,161","31,631","127,746","8,959","1,390","60,333","59,741","24,107","22,442",0
Connecticut,"230,542","166,649","63,893","28,723","30,826","74,886","37,124",295,"27,045","1,422",255,"1,504","28,365",783,"30,766","71,653","1,919",275,"31,327","17,257","5,312","12,361",0
D.C.,"33,070","24,661","8,409","3,327","4,195","9,442","8,909",54,"2,988",265,73,146,"3,543",313,"2,773","8,569",450,37,"5,437","3,680","2,265","2,477",0
Delaware,"79,967","58,883","21,084","6,902","9,197","28,250","18,472",0,"6,090",544,267,366,"7,410",976,"8,456","25,124","1,446",437,"12,263","7,973","4,776","3,839",0
Florida,"1,588,029","1,165,809","422,220","175,121","193,684","502,274","371,760","1,552","154,508","14,538","6,075","12,330","153,404","19,668","162,575","445,857","26,682","3,992","245,763","188,997","73,075","79,013",0
